MEMBER 0
press,hght,temp,dwpt,wdir,wspd
961.300000,455.000000,23.800000,20.800000,0.000000,0.000000
949.400000,563.000000,23.000000,19.500000,107.000000,0.500000
939.300000,657.000000,23.600000,18.300000,105.000000,1.900000
929.600000,748.000000,23.000000,17.800000,66.000000,1.400000
920.700000,832.000000,22.600000,17.400000,355.000000,0.900000
910.100000,933.000000,22.200000,17.400000,0.000000,0.000000
901.100000,1020.000000,21.500000,17.200000,200.000000,0.700000
893.400000,1094.000000,21.200000,17.100000,259.000000,0.600000
886.000000,1167.000000,20.800000,17.400000,220.000000,1.000000
878.300000,1242.000000,20.400000,17.200000,227.000000,1.800000
871.000000,1314.000000,19.900000,16.900000,243.000000,2.600000
863.800000,1386.000000,19.600000,14.500000,242.000000,2.700000
856.500000,1459.000000,19.000000,15.400000,233.000000,3.000000
849.400000,1532.000000,18.800000,14.200000,230.000000,2.900000
842.000000,1607.000000,18.500000,14.700000,227.000000,2.700000
834.900000,1680.000000,18.100000,14.400000,223.000000,2.800000
827.500000,1755.000000,17.600000,13.900000,219.000000,2.500000
819.800000,1835.000000,17.000000,13.000000,232.000000,2.700000
812.700000,1910.000000,16.500000,12.100000,237.000000,3.000000
805.600000,1985.000000,16.400000,11.300000,239.000000,2.700000
798.300000,2062.000000,16.100000,10.800000,241.000000,2.300000
791.000000,2140.000000,15.700000,9.500000,250.000000,2.500000
783.900000,2217.000000,15.700000,6.300000,245.000000,2.500000
777.100000,2291.000000,15.000000,10.700000,237.000000,1.600000
770.300000,2366.000000,14.600000,10.900000,245.000000,1.400000
763.200000,2444.000000,14.300000,8.300000,246.000000,1.300000
755.600000,2529.000000,13.500000,8.400000,270.000000,2.000000
747.200000,2623.000000,13.000000,6.000000,270.000000,3.500000
740.900000,2694.000000,13.000000,4.900000,265.000000,3.900000
734.300000,2770.000000,12.600000,4.100000,268.000000,3.800000
727.800000,2845.000000,12.200000,3.200000,267.000000,3.700000
721.400000,2918.000000,11.500000,7.100000,262.000000,4.200000
714.800000,2995.000000,10.800000,9.200000,260.000000,4.600000
708.500000,3069.000000,10.500000,8.500000,257.000000,5.400000
702.200000,3144.000000,10.300000,6.800000,255.000000,5.600000
695.900000,3219.000000,10.100000,6.900000,249.000000,6.000000
689.600000,3295.000000,9.600000,6.800000,246.000000,6.000000
683.400000,3370.000000,9.100000,6.400000,253.000000,5.200000
677.300000,3444.000000,8.800000,5.100000,259.000000,4.900000
671.200000,3520.000000,8.200000,4.500000,260.000000,4.900000
665.300000,3593.000000,7.800000,4.500000,259.000000,4.600000
659.200000,3668.000000,7.400000,4.000000,271.000000,5.100000
653.500000,3740.000000,7.000000,3.600000,277.000000,6.000000
647.500000,3816.000000,6.500000,3.800000,278.000000,6.600000
641.700000,3889.000000,6.000000,2.400000,285.000000,6.900000
636.000000,3963.000000,5.800000,1.000000,288.000000,7.100000
629.900000,4041.000000,5.200000,1.700000,285.000000,6.100000
623.800000,4121.000000,4.400000,2.400000,279.000000,5.600000
618.200000,4195.000000,3.800000,2.300000,267.000000,5.600000
612.900000,4265.000000,3.700000,0.900000,262.000000,5.500000
607.300000,4339.000000,3.300000,-0.100000,265.000000,5.500000
602.000000,4411.000000,2.800000,1.400000,261.000000,5.900000
596.700000,4482.000000,2.400000,1.000000,262.000000,6.500000
591.400000,4554.000000,2.100000,0.600000,261.000000,7.000000
586.400000,4623.000000,1.600000,0.000000,264.000000,7.300000
