Launch Time=2015-05-31 23:26:14
    Time  AscRate  Hgt/MSL       P  Temp   RH  Dewp   Dir  Speed   VirT        Lat        Lon     MR    range    Azimuth
 min  s      m/s        m      hPa  degC    O  degC   deg    m/s      K        deg        deg   g/kg3        m       deg
   0  0      0.0      452    961.5  26.5   86  24.0     0    0.0    0.0     23.100    120.690 19.8600      0.0    99.000
   0  1    180.0      455    961.3  23.8   84  20.8     0    0.0    0.0     23.100    120.690 16.2800      0.0   160.000
   0  2    240.0      459    960.8  23.5   82  20.3     0    0.0    0.0     23.100    120.690 15.7400    100.0   162.000
   0  3    300.0      464    960.3  23.4   82  20.1     0    0.0    0.0     23.100    120.690 15.5800    100.0   164.000
   0  4    360.0      470    959.6  23.2   83  20.1     0    0.0    0.0     23.100    120.690 15.6000    100.0   167.000
   0  5    300.0      475    959.0  23.1   83  20.2     0    0.0    0.0     23.100    120.690 15.6900    100.0   168.000
   0  6    360.0      481    958.4  23.1   84  20.3     0    0.0    0.0     23.100    120.690 15.8100    100.0   167.000
   0  7    240.0      485    957.9  23.0   85  20.4     0    0.0    0.0     23.100    120.690 15.9200    100.0   164.000
   0  8    300.0      490    957.4  23.0   86  20.5     0    0.0    0.0     23.100    120.690 15.9800    100.0   163.000
   0  9    300.0      495    956.9  23.0   85  20.4     0    0.0    0.0     23.100    120.690 15.9200    100.0   164.000
   0 10    300.0      500    956.3  23.1   84  20.2     0    0.0    0.0     23.100    120.690 15.7600    100.0   167.000
   0 11    360.0      506    955.6  23.1   83  20.0     0    0.0    0.0     23.100    120.690 15.5800      0.0   169.000
   0 12    420.0      513    954.9  23.1   82  19.9     0    0.0    0.0     23.100    120.690 15.4400      0.0   169.000
   0 13    360.0      519    954.2  23.1   82  19.8     0    0.0    0.0     23.100    120.690 15.3500    100.0   169.000
   0 14    420.0      526    953.5  23.1   81  19.7     0    0.0    0.0     23.100    120.690 15.3100    100.0   170.000
   0 15    300.0      531    952.9  23.1   81  19.7     0    0.0    0.0     23.100    120.690 15.3100    100.0   174.000
   0 16    360.0      537    952.3  23.0   81  19.7     0    0.0    0.0     23.100    120.690 15.3000    100.0   176.000
   0 17    300.0      542    951.7  23.0   81  19.7     0    0.0    0.0     23.100    120.690 15.2900    100.0   177.000
   0 18    300.0      547    951.2  23.0   82  19.6     0    0.0    0.0     23.100    120.690 15.2800    100.0   174.000
   0 19    300.0      552    950.6  23.0   81  19.6     0    0.0    0.0     23.100    120.690 15.2600    100.0   170.000
   0 20    360.0      558    950.0  23.0   81  19.6   360    0.5    0.5     23.100    120.690 15.2100    100.0   168.000
   0 21    300.0      563    949.4  23.0   81  19.5   107    0.5    0.5     23.100    120.690 15.1700    100.0   169.000
   0 22    300.0      568    948.9  23.0   80  19.5   109    0.6    0.6     23.100    120.690 15.1300    100.0   172.000
   0 23    300.0      573    948.4  23.0   80  19.4   110    0.6    0.6     23.100    120.690 15.1000    100.0   175.000
   0 24    240.0      577    947.9  22.9   80  19.4   111    0.7    0.7     23.100    120.690 15.0900      0.0   175.000
   0 25    300.0      582    947.4  22.9   81  19.4   112    0.7    0.7     23.100    120.690 15.0900      0.0   172.000
   0 26    300.0      587    946.8  22.8   81  19.4   113    0.8    0.8     23.100    120.690 15.1000      0.0   166.000
   0 27    360.0      593    946.2  22.8   81  19.4   113    0.9    0.9     23.100    120.690 15.1000      0.0   163.000
   0 28    300.0      598    945.6  22.8   81  19.3   113    0.9    0.9     23.100    120.690 15.0900    100.0   163.000
