ID:K4154150
Launch Time=2015-06-05 12:27:31
    Time  AscRate  Hgt/MSL       P  Temp   RH  Dewp   Dir  Speed   VirT        Lat        Lon     MR    range    Azimuth
 min  s      m/s        m      hPa  degC    O  degC   deg    m/s      K        deg        deg   g/kg3        m       deg
   0  0      0.0      452    959.8  26.1   84  23.2    81    0.8    0.8     23.100    120.690 18.9000      0.0   261.000
   0  1    360.0      458    959.0  25.8   86  23.2   169    1.6    1.6     23.100    120.690 18.9400      0.0   149.000
   0  2    420.0      465    958.4  25.6   87  23.2   204    2.0    2.0     23.100    120.690 18.9300      0.0   146.000
   0  3    360.0      471    957.7  25.4   87  23.1   211    2.2    2.2     23.100    120.690 18.8500      0.0   140.000
   0  4    360.0      477    957.0  25.3   87  23.1   206    2.3    2.3     23.100    120.690 18.8100      0.0   132.000
   0  5    360.0      483    956.4  25.2   88  23.0   201    2.4    2.4     23.100    120.690 18.8100      0.0   125.000
   0  6    360.0      489    955.7  25.2   88  23.0   199    2.6    2.6     23.100    120.690 18.8100      0.0   122.000
   0  7    360.0      495    955.1  25.1   88  23.0   198    2.7    2.7     23.100    120.690 18.8100      0.0   120.000
   0  8    420.0      502    954.4  25.1   88  23.0   198    2.8    2.8     23.100    120.690 18.8100      0.0   113.000
   0  9    360.0      508    953.7  25.0   88  23.0   197    3.0    3.0     23.100    120.690 18.8000      0.0   106.000
   0 10    420.0      515    953.0  25.0   89  23.0   196    3.1    3.1     23.100    120.690 18.8000      0.0   106.000
   0 11    420.0      522    952.2  24.9   89  22.9   196    3.2    3.2     23.100    120.690 18.7800      0.0   109.000
   0 12    360.0      528    951.5  24.9   89  22.9   195    3.4    3.4     23.100    120.690 18.7500      0.0   105.000
   0 13    420.0      535    950.8  24.9   89  22.9   195    3.5    3.5     23.100    120.690 18.7000      0.0    91.000
   0 14    300.0      540    950.2  24.9   88  22.8   194    3.6    3.6     23.100    120.690 18.6600      0.0    75.000
   0 15    360.0      546    949.6  24.8   88  22.8   193    3.7    3.7     23.100    120.690 18.6200      0.0    65.000
   0 16    360.0      552    948.9  24.8   88  22.7   193    3.7    3.7     23.100    120.690 18.5600      0.0    60.000
   0 17    420.0      559    948.2  24.8   88  22.6   193    3.8    3.8     23.100    120.690 18.4900      0.0    57.000
   0 18    360.0      565    947.6  24.8   87  22.5   192    3.9    3.9     23.100    120.690 18.3900      0.0    53.000
   0 19    300.0      570    947.0  24.8   86  22.4   192    4.0    4.0     23.100    120.690 18.2700      0.0    50.000
   0 20    300.0      575    946.4  24.9   86  22.3   192    4.0    4.0     23.100    120.690 18.1500      0.0    47.000
   0 21    300.0      580    945.9  24.9   85  22.2   192    4.1    4.1     23.100    120.690 18.0300    100.0    46.000
   0 22    360.0      586    945.3  24.9   84  22.1   192    4.1    4.1     23.100    120.690 17.9200    100.0    47.000
   0 23    300.0      591    944.7  24.9   84  22.0   192    4.1    4.1     23.100    120.690 17.8200    100.0    45.000
   0 24    360.0      597    944.2  24.9   83  21.9   192    4.2    4.2     23.100    120.690 17.7400    100.0    42.000
   0 25    360.0      603    943.5  24.9   83  21.8   192    4.2    4.2     23.100    120.690 17.6700    100.0    39.000
   0 26    360.0      609    942.9  24.8   83  21.8   193    4.2    4.2     23.100    120.690 17.6300    100.0    37.000
   0 27    360.0      615    942.2  24.8   83  21.7   193    4.2    4.2     23.100    120.690 17.6000    100.0    36.000
   0 28    300.0      620    941.7  24.7   83  21.7   194    4.2    4.2     23.100    120.690 17.5700    100.0    35.000
   0 29    240.0      624    941.2  24.6   84  21.7   195    4.2    4.2     23.100    120.690 17.5600    100.0    34.000
   0 30    300.0      629    940.7  24.6   84  21.7   195    4.2    4.2     23.100    120.690 17.5600    100.0    31.000
   0 31    240.0      633    940.3  24.6   84  21.7   196    4.2    4.2     23.100    120.690 17.5600    100.0    28.000
   0 32    300.0      638    939.7  24.5   84  21.7   197    4.2    4.2     23.100    120.690 17.5500    100.0    25.000
   0 33    360.0      644    939.1  24.5   84  21.6   198    4.3    4.3     23.100    120.690 17.5400    100.0    22.000
   0 34    300.0      649    938.5  24.4   84  21.6   199    4.3    4.3     23.100    120.690 17.5200    100.0    20.000
   0 35    360.0      655    938.0  24.4   84  21.6   200    4.3    4.3     23.100    120.690 17.5100    100.0    19.000
   0 36    300.0      660    937.4  24.3   85  21.6   201    4.3    4.3     23.100    120.690 17.5100    100.0    22.000
   0 37    300.0      665    936.9  24.3   85  21.6   202    4.3    4.3     23.100    120.690 17.5100    100.0    25.000
   0 38    300.0      670    936.4  24.2   85  21.6   203    4.3    4.3     23.100    120.690 17.5100    100.0    28.000
   0 39    240.0      674    935.9  24.2   85  21.5   204    4.3    4.3     23.100    120.690 17.5000    100.0    29.000
   0 40    300.0      679    935.4  24.2   85  21.5   205    4.3    4.3     23.100    120.690 17.5000    100.0    30.000
   0 41    300.0      684    934.9  24.1   85  21.5   205    4.3    4.3     23.100    120.690 17.4900    100.0    30.000
   0 42    360.0      690    934.2  24.1   86  21.5   206    4.2    4.2     23.100    120.690 17.4800    100.0    29.000
   0 43    360.0      696    933.6  24.0   86  21.5   206    4.2    4.2     23.100    120.690 17.4800    100.0    29.000
   0 44    360.0      702    932.9  23.9   86  21.5   207    4.2    4.2     23.100    120.690 17.4700    100.0    29.000
   0 45    360.0      708    932.3  23.9   86  21.4   207    4.2    4.2     23.100    120.690 17.4500    100.0    29.000
   0 46    360.0      714    931.7  23.8   86  21.4   207    4.2    4.2     23.100    120.690 17.4300    200.0    30.000
   0 47    300.0      719    931.1  23.7   87  21.4   207    4.2    4.2     23.100    120.690 17.4200    200.0    31.000
   0 48    300.0      724    930.6  23.7   87  21.4   207    4.1    4.1     23.100    120.690 17.4100    200.0    30.000
   0 49    360.0      730    930.0  23.6   87  21.3   207    4.1    4.1     23.100    120.690 17.4100    200.0    29.000
   0 50    360.0      736    929.4  23.6   87  21.3   207    4.1    4.1     23.100    120.690 17.4000    200.0    28.000
   0 51    360.0      742    928.7  23.5   87  21.3   207    4.1    4.1     23.100    120.690 17.3900    200.0    27.000
   0 52    300.0      747    928.1  23.5   87  21.3   207    4.1    4.1     23.100    120.690 17.3800    200.0    27.000
   0 53    360.0      753    927.5  23.4   88  21.3   206    4.1    4.1     23.100    120.690 17.3900    200.0    28.000
   0 54    300.0      758    927.0  23.4   88  21.3   206    4.0    4.0     23.100    120.690 17.4000    200.0    30.000
   0 55    360.0      764    926.4  23.3   88  21.3   206    4.0    4.0     23.100    120.690 17.4000    200.0    31.000
   0 56    300.0      769    925.9  23.3   88  21.2   205    4.0    4.0     23.100    120.690 17.3900    200.0    31.000
   0 57    300.0      774    925.3  23.2   89  21.2   205    4.0    4.0     23.100    120.690 17.3900    200.0    31.000
   0 58    240.0      778    924.9  23.2   89  21.3   205    4.0    4.0     23.100    120.690 17.4200    200.0    29.000
   0 59    300.0      783    924.4  23.1   89  21.3   204    4.0    4.0     23.100    120.690 17.4600    200.0    28.000
